REGION,TECHNOLOGY,VALUE
REGION1,GRHYDSPH3,31.536
REGION1,GRNGCCPH2,31.536
REGION1,GRNGCHPH3,31.536
REGION1,GRNGCHPN3,31.536
REGION1,GRNGCSPN2,31.536
REGION1,GRNGFCFH1,31.536
REGION1,GRNGGCPH2,31.536
REGION1,GRNGGCPN2,31.536
REGION1,GRNGHPFH1,31.536
REGION1,GRNGHPPH2,31.536
REGION1,GRNGSTPH2,31.536
REGION1,GROCWVPH1,31.536
REGION1,GRSODIFH1,31.536
REGION1,GRSOUTPH2,31.536
REGION1,GRWIOFPN3,31.536
REGION1,GRWIONPH3,31.536
REGION1,GRWSCHPH2,31.536
REGION1,GRWSSTPH1,31.536
REGION1,HRBFHPFH1,31.536
REGION1,HRBMCCPH1,31.536
REGION1,HRBMCHPH3,31.536
REGION1,HRBMCSPN2,31.536
REGION1,HRBMSTPH3,31.536
REGION1,HRCOCHPH3,31.536
REGION1,HRCOCSPN2,31.536
REGION1,HRCOSTPH1,31.536
REGION1,HRCOSTPH3,31.536
REGION1,HRELHUPH1,31.536
REGION1,HRELSIPH1,31.536
REGION1,HRGOCVPH2,31.536
REGION1,HRHFCCPH2,31.536
REGION1,HRHFCHPH3,31.536
REGION1,HRHFGCPH3,31.536
REGION1,HRHFGCPN3,31.536
REGION1,HRHFHPFH1,31.536
REGION1,HRHFHPPH2,31.536
REGION1,HRHFSTPH2,31.536
REGION1,HRHFSTPH3,31.536
REGION1,HRHYDMPH0,31.536
REGION1,HRHYDMPH1,31.536
REGION1,HRHYDMPH2,31.536
REGION1,HRHYDMPH3,31.536
REGION1,HRHYDSPH2,31.536
REGION1,HRHYDSPH3,31.536
REGION1,HRNGCCPH2,31.536
REGION1,HRNGCHPH3,31.536
REGION1,HRNGCHPN3,31.536
REGION1,HRNGCSPN2,31.536
REGION1,HRNGFCFH1,31.536
REGION1,HRNGGCPH2,31.536
REGION1,HRNGGCPN2,31.536
REGION1,HRNGHPFH1,31.536
REGION1,HRNGHPPH2,31.536
REGION1,HRNGSTPH2,31.536
REGION1,HRSODIFH1,31.536
REGION1,HRSOUTPH2,31.536
REGION1,HRWIONPH3,31.536
REGION1,HRWSCHPH2,31.536
REGION1,HRWSSTPH1,31.536
REGION1,HUBFHPFH1,31.536
REGION1,HUBMCCPH1,31.536
REGION1,HUBMCHPH3,31.536
REGION1,HUBMCSPN2,31.536
REGION1,HUBMSTPH3,31.536
REGION1,HUCOCHPH3,31.536
REGION1,HUCOCSPN2,31.536
REGION1,HUCOSTPH1,31.536
REGION1,HUCOSTPH3,31.536
REGION1,HUELROPH1,31.536
REGION1,HUELSKPH1,31.536
REGION1,HUGOCVPH2,31.536
REGION1,HUHFCCPH2,31.536
REGION1,HUHFCHPH3,31.536
REGION1,HUHFGCPH3,31.536
REGION1,HUHFGCPN3,31.536
REGION1,HUHFHPFH1,31.536
REGION1,HUHFHPPH2,31.536
REGION1,HUHFSTPH2,31.536
REGION1,HUHFSTPH3,31.536
REGION1,HUHYDMPH0,31.536
REGION1,HUHYDMPH1,31.536
REGION1,HUHYDMPH2,31.536
REGION1,HUHYDMPH3,31.536
REGION1,HUNGCCPH2,31.536
REGION1,HUNGCHPH3,31.536
REGION1,HUNGCHPN3,31.536
REGION1,HUNGCSPN2,31.536
REGION1,HUNGFCFH1,31.536
REGION1,HUNGGCPH2,31.536
REGION1,HUNGGCPN2,31.536
REGION1,HUNGHPFH1,31.536
REGION1,HUNGHPPH2,31.536
REGION1,HUNGSTPH2,31.536
REGION1,HUNUG2PH3,31.536
REGION1,HUNUG3PN3,31.536
REGION1,HUSODIFH1,31.536
REGION1,HUSOUTPH2,31.536
