REGION,TECHNOLOGY,VALUE
REGION1,FRHFHPFH1,20.0
REGION1,FRHFHPPH2,20.0
REGION1,FRHFSTPH2,30.0
REGION1,FRHFSTPH3,30.0
REGION1,FRHYDMPH0,80.0
REGION1,FRHYDMPH1,80.0
REGION1,FRHYDMPH2,80.0
REGION1,FRHYDMPH3,80.0
REGION1,FRHYDSPH2,80.0
REGION1,FRHYDSPH3,80.0
REGION1,FRNGCCPH2,30.0
REGION1,FRNGCHPH3,25.0
REGION1,FRNGCHPN3,25.0
REGION1,FRNGCSPN2,30.0
REGION1,FRNGFCFH1,5.0
REGION1,FRNGGCPH2,25.0
REGION1,FRNGGCPN2,25.0
REGION1,FRNGHPFH1,20.0
REGION1,FRNGHPPH2,20.0
REGION1,FRNGSTPH2,30.0
REGION1,FRNUG2PH3,50.0
REGION1,FRNUG3PN3,60.0
REGION1,FROCWVPH1,25.0
REGION1,FRSODIFH1,25.0
REGION1,FRSOUTPH2,25.0
REGION1,FRWIOFPH3,25.0
REGION1,FRWIOFPN2,25.0
REGION1,FRWIOFPN3,25.0
REGION1,FRWIONPH3,25.0
REGION1,FRWIONPN3,25.0
REGION1,FRWSCHPH2,25.0
REGION1,FRWSSTPH1,30.0
REGION1,GRBFHPFH1,20.0
REGION1,GRBMCCPH1,30.0
REGION1,GRBMCHPH3,25.0
REGION1,GRBMCSPN2,35.0
REGION1,GRBMSTPH3,30.0
REGION1,GRCOCHPH3,25.0
REGION1,GRCOCSPN2,40.0
REGION1,GRCOSTPH1,30.0
REGION1,GRCOSTPH3,30.0
REGION1,GRGOCVPH2,40.0
REGION1,GRHFCCPH2,30.0
REGION1,GRHFCHPH3,25.0
REGION1,GRHFGCPH3,25.0
REGION1,GRHFGCPN3,25.0
REGION1,GRHFHPFH1,20.0
REGION1,GRHFHPPH2,20.0
REGION1,GRHFSTPH2,30.0
REGION1,GRHFSTPH3,30.0
REGION1,GRHYDMPH0,80.0
REGION1,GRHYDMPH1,80.0
REGION1,GRHYDMPH2,80.0
REGION1,GRHYDMPH3,80.0
REGION1,GRHYDSPH2,80.0
REGION1,GRHYDSPH3,80.0
REGION1,GRNGCCPH2,30.0
REGION1,GRNGCHPH3,25.0
REGION1,GRNGCHPN3,25.0
REGION1,GRNGCSPN2,30.0
REGION1,GRNGFCFH1,5.0
REGION1,GRNGGCPH2,25.0
REGION1,GRNGGCPN2,25.0
REGION1,GRNGHPFH1,20.0
REGION1,GRNGHPPH2,20.0
REGION1,GRNGSTPH2,30.0
REGION1,GROCWVPH1,25.0
REGION1,GRSODIFH1,25.0
REGION1,GRSOUTPH2,25.0
REGION1,GRWIOFPN3,25.0
REGION1,GRWIONPH3,25.0
REGION1,GRWSCHPH2,25.0
REGION1,GRWSSTPH1,30.0
REGION1,HRBFHPFH1,20.0
REGION1,HRBMCCPH1,30.0
REGION1,HRBMCHPH3,25.0
REGION1,HRBMCSPN2,35.0
REGION1,HRBMSTPH3,30.0
REGION1,HRCOCHPH3,25.0
REGION1,HRCOCSPN2,40.0
REGION1,HRCOSTPH1,30.0
REGION1,HRCOSTPH3,30.0
REGION1,HRGOCVPH2,40.0
REGION1,HRHFCCPH2,30.0
REGION1,HRHFCHPH3,25.0
